时间：0.0s;	dt=1.0s;
ID:MTG_QS_GD01|流量：6.000 m3/s|流速：2.701 m/s|
ID:MTG_QS_GD02|流量：6.000 m3/s|流速：2.701 m/s|
ID:MTG_QS_GD03|流量：12.000 m3/s|流速：5.402 m/s|
ID:MTG_QS_GD04|流量：6.000 m3/s|流速：3.020 m/s|
ID:MTG_QS_GD05|流量：6.000 m3/s|流速：3.020 m/s|
ID:MTG_QS_GD04a|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD05a|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD06|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD07|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD08|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD09|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD010|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD011|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD01|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD02|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD01a|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD02a|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD03|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD04|流量：0.000 m3/s|流速：0.000 m/s|
时间：1.0s;	dt=1.0s;
ID:MTG_QS_GD01|流量：6.000 m3/s|流速：2.701 m/s|
ID:MTG_QS_GD02|流量：6.000 m3/s|流速：2.701 m/s|
ID:MTG_QS_GD03|流量：12.000 m3/s|流速：5.402 m/s|
ID:MTG_QS_GD04|流量：6.000 m3/s|流速：3.020 m/s|
ID:MTG_QS_GD05|流量：6.000 m3/s|流速：3.020 m/s|
ID:MTG_QS_GD04a|流量：3.603 m3/s|流速：1.813 m/s|
ID:MTG_QS_GD05a|流量：3.603 m3/s|流速：1.813 m/s|
ID:MTG_QS_GD06|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD07|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD08|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD09|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD010|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD011|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD01|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD02|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD01a|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD02a|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD03|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD04|流量：0.000 m3/s|流速：0.000 m/s|
时间：2.0s;	dt=1.0s;
ID:MTG_QS_GD01|流量：6.000 m3/s|流速：2.701 m/s|
ID:MTG_QS_GD02|流量：6.000 m3/s|流速：2.701 m/s|
ID:MTG_QS_GD03|流量：12.000 m3/s|流速：5.402 m/s|
ID:MTG_QS_GD04|流量：6.000 m3/s|流速：3.020 m/s|
ID:MTG_QS_GD05|流量：6.000 m3/s|流速：3.020 m/s|
ID:MTG_QS_GD04a|流量：4.263 m3/s|流速：2.145 m/s|
ID:MTG_QS_GD05a|流量：4.263 m3/s|流速：2.145 m/s|
ID:MTG_QS_GD06|流量：2.792 m3/s|流速：1.405 m/s|
ID:MTG_QS_GD07|流量：2.792 m3/s|流速：1.405 m/s|
ID:MTG_QS_GD08|流量：2.792 m3/s|流速：1.405 m/s|
ID:MTG_QS_GD09|流量：2.792 m3/s|流速：1.405 m/s|
ID:MTG_QS_GD010|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_QS_GD011|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD01|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD02|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD01a|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD02a|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD03|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD04|流量：0.000 m3/s|流速：0.000 m/s|
时间：3.0s;	dt=1.0s;
ID:MTG_QS_GD01|流量：6.000 m3/s|流速：2.701 m/s|
ID:MTG_QS_GD02|流量：6.000 m3/s|流速：2.701 m/s|
ID:MTG_QS_GD03|流量：12.000 m3/s|流速：5.402 m/s|
ID:MTG_QS_GD04|流量：6.000 m3/s|流速：3.020 m/s|
ID:MTG_QS_GD05|流量：6.000 m3/s|流速：3.020 m/s|
ID:MTG_QS_GD04a|流量：4.683 m3/s|流速：2.357 m/s|
ID:MTG_QS_GD05a|流量：4.683 m3/s|流速：2.357 m/s|
ID:MTG_QS_GD06|流量：2.222 m3/s|流速：1.118 m/s|
ID:MTG_QS_GD07|流量：2.222 m3/s|流速：1.118 m/s|
ID:MTG_QS_GD08|流量：2.222 m3/s|流速：1.118 m/s|
ID:MTG_QS_GD09|流量：2.222 m3/s|流速：1.118 m/s|
ID:MTG_QS_GD010|流量：3.639 m3/s|流速：1.832 m/s|
ID:MTG_QS_GD011|流量：3.639 m3/s|流速：1.832 m/s|
ID:MTG_HH_GD01|流量：3.639 m3/s|流速：1.638 m/s|
ID:MTG_HH_GD02|流量：3.639 m3/s|流速：1.638 m/s|
ID:MTG_HH_GD01a|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD02a|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD03|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD04|流量：0.000 m3/s|流速：0.000 m/s|
时间：4.0s;	dt=1.0s;
ID:MTG_QS_GD01|流量：6.000 m3/s|流速：2.701 m/s|
ID:MTG_QS_GD02|流量：6.000 m3/s|流速：2.701 m/s|
ID:MTG_QS_GD03|流量：12.000 m3/s|流速：5.402 m/s|
ID:MTG_QS_GD04|流量：6.000 m3/s|流速：3.020 m/s|
ID:MTG_QS_GD05|流量：6.000 m3/s|流速：3.020 m/s|
ID:MTG_QS_GD04a|流量：4.978 m3/s|流速：2.505 m/s|
ID:MTG_QS_GD05a|流量：4.978 m3/s|流速：2.505 m/s|
ID:MTG_QS_GD06|流量：2.335 m3/s|流速：1.175 m/s|
ID:MTG_QS_GD07|流量：2.335 m3/s|流速：1.175 m/s|
ID:MTG_QS_GD08|流量：2.335 m3/s|流速：1.175 m/s|
ID:MTG_QS_GD09|流量：2.335 m3/s|流速：1.175 m/s|
ID:MTG_QS_GD010|流量：3.893 m3/s|流速：1.959 m/s|
ID:MTG_QS_GD011|流量：3.893 m3/s|流速：1.959 m/s|
ID:MTG_HH_GD01|流量：3.893 m3/s|流速：1.752 m/s|
ID:MTG_HH_GD02|流量：3.893 m3/s|流速：1.752 m/s|
ID:MTG_HH_GD01a|流量：6.303 m3/s|流速：2.837 m/s|
ID:MTG_HH_GD02a|流量：6.303 m3/s|流速：2.837 m/s|
ID:MTG_HH_GD03|流量：0.000 m3/s|流速：0.000 m/s|
ID:MTG_HH_GD04|流量：0.000 m3/s|流速：0.000 m/s|
时间：5.0s;	dt=1.0s;
ID:MTG_QS_GD01|流量：6.000 m3/s|流速：2.701 m/s|
ID:MTG_QS_GD02|流量：6.000 m3/s|流速：2.701 m/s|
ID:MTG_QS_GD03|流量：12.000 m3/s|流速：5.402 m/s|
ID:MTG_QS_GD04|流量：6.000 m3/s|流速：3.020 m/s|
ID:MTG_QS_GD05|流量：6.000 m3/s|流速：3.020 m/s|
ID:MTG_QS_GD04a|流量：5.195 m3/s|流速：2.615 m/s|
ID:MTG_QS_GD05a|流量：5.195 m3/s|流速：2.615 m/s|
ID:MTG_QS_GD06|流量：2.474 m3/s|流速：1.245 m/s|
ID:MTG_QS_GD07|流量：2.474 m3/s|流速：1.245 m/s|
ID:MTG_QS_GD08|流量：2.474 m3/s|流速：1.245 m/s|
ID:MTG_QS_GD09|流量：2.474 m3/s|流速：1.245 m/s|
ID:MTG_QS_GD010|流量：4.123 m3/s|流速：2.075 m/s|
ID:MTG_QS_GD011|流量：4.123 m3/s|流速：2.075 m/s|
ID:MTG_HH_GD01|流量：4.123 m3/s|流速：1.856 m/s|
ID:MTG_HH_GD02|流量：4.123 m3/s|流速：1.856 m/s|
ID:MTG_HH_GD01a|流量：3.663 m3/s|流速：1.649 m/s|
